Trip_ID,start_area,end_area,distance_km,time_of_day,day_of_week,weather_condition,traffic_density_level,road_type,average_speed_kmph,travel_time_minutes,adjusted_speed,adjusted_travel_time,start_zone,end_zone,zone
TRIP_00001,Vasant Kunj,Kalkaji,9.44,Night,Weekday,Clear,Low,Main Road,37.8,15.3,32.129999999999995,17.628384687208218,South,South,South Delhi
TRIP_00002,Greater Kailash,Kalkaji,2.15,Night,Weekend,Clear,Low,Main Road,42.7,3.0,36.295,3.5542085686733706,South,South,South Delhi
TRIP_00003,Janakpuri,Model Town,14.54,Morning Peak,Weekday,Rain,High,Inner Road,9.7,92.7,8.245,105.8095815645846,West,North,West Delhi
TRIP_00004,Punjabi Bagh,Dwarka,11.86,Night,Weekday,Clear,Low,Highway,68.5,10.6,58.225,12.221554315156718,West,West,West Delhi
TRIP_00005,Rohini,Chandni Chowk,20.26,Afternoon,Weekday,Fog,Medium,Highway,30.3,42.0,25.755,47.198602213162495,North,Central,North Delhi
TRIP_00006,Janakpuri,Dwarka,5.26,Evening Peak,Weekend,Clear,Medium,Highway,51.7,6.1,43.945,7.181704403231312,West,West,West Delhi
TRIP_00007,Noida Sector 18,Preet Vihar,8.57,Morning Peak,Weekend,Clear,Very High,Inner Road,7.6,70.6,6.46,79.59752321981424,Other,Other,Other
TRIP_00008,Rohini,Dwarka,17.53,Evening Peak,Weekday,Clear,Medium,Main Road,37.3,27.5,31.705,33.17457814224886,North,West,North Delhi
TRIP_00009,IGI Airport,Saket,11.0,Evening Peak,Weekday,Heatwave,High,Highway,39.7,17.0,33.745000000000005,19.558453104163576,Other,South,Other
TRIP_00010,Vasant Kunj,Janakpuri,13.24,Evening Peak,Weekday,Clear,High,Main Road,23.6,38.6,20.060000000000002,39.60119641076769,South,West,South Delhi
TRIP_00011,Chandni Chowk,Pitampura,11.29,Morning Peak,Weekend,Clear,High,Main Road,24.8,26.8,21.08,32.13472485768501,Central,North,Central Delhi
TRIP_00012,Mayur Vihar,Preet Vihar,3.05,Afternoon,Weekend,Clear,Low,Main Road,56.4,3.6,47.94,3.8172715894868583,Other,Other,Other
TRIP_00013,Rohini,Lajpat Nagar,26.64,Morning Peak,Weekday,Clear,Very High,Highway,16.3,97.1,13.855,115.36629375676651,North,Other,North Delhi
TRIP_00014,Okhla,Model Town,21.87,Morning Peak,Weekday,Clear,Very High,Main Road,10.2,127.9,8.67,151.34948096885813,Other,North,Other
TRIP_00015,Greater Kailash,IGI Airport,13.13,Morning Peak,Weekend,Clear,Low,Main Road,58.1,14.0,49.385,15.95221221018528,South,Other,South Delhi
TRIP_00016,Model Town,Hauz Khas,18.43,Afternoon,Weekday,Rain,Medium,Highway,43.9,27.6,37.315,29.63419536379472,North,Other,North Delhi
TRIP_00017,Dwarka,Okhla,23.01,Evening Peak,Weekend,Clear,Low,Main Road,45.0,32.1,38.25,36.09411764705882,West,Other,West Delhi
TRIP_00018,Noida Sector 18,Punjabi Bagh,21.94,Night,Weekend,Clear,Medium,Main Road,36.8,40.4,31.279999999999998,42.0843989769821,Other,West,Other
TRIP_00019,Saket,IGI Airport,11.0,Afternoon,Weekday,Rain,High,Main Road,19.3,33.4,16.405,40.23163669612922,South,Other,South Delhi
TRIP_00020,Hauz Khas,Nehru Place,5.2,Evening Peak,Weekday,Clear,Very High,Highway,16.3,19.8,13.855,22.518946228798267,Other,Other,Other
TRIP_00021,Nehru Place,Dwarka,20.8,Evening Peak,Weekday,Clear,Very High,Highway,21.7,63.8,18.445,67.66061263214964,Other,West,Other
TRIP_00022,AIIMS,Greater Kailash,3.26,Morning Peak,Weekend,Clear,High,Inner Road,17.4,11.5,14.79,13.225152129817443,Other,South,Other
TRIP_00023,Saket,Model Town,21.24,Morning Peak,Weekday,Rain,Medium,Main Road,32.2,45.4,27.37,46.561929119473874,South,North,South Delhi
